BUG,PORT
my-s10.mpl.mobilelegends.com,443
mysg-s4.mpl.mobilelegends.com,443
cdn-my.mpl.mobilelegends.com,443
jp.mobilelegends.com,443
www.mobilelegends.com,443
mysg-s5.mpl.mobilelegends.com,443
sg-play.mobilelegends.com,443
www.worlds.mobilelegends.com,443
mysg.mpl.mobilelegends.com,443
mlapi.mobilelegends.com,443
share.mobilelegends.com,443
activity.mobilelegends.com,443
file.mobilelegends.com,443
cdn-my-s10.mpl.mobilelegends.com,443
worlds.mobilelegends.com,443
applink.mobilelegends.com,443
my.mpl.mobilelegends.com,443
www.sg.mpl.mobilelegends.com,443
dev-test-web.mobilelegends.com,443
accountmt.mobilelegends.com,443
img-cdn.mobilelegends.com,443
sg.mpl.mobilelegends.com,443
esports.mobilelegends.com,443
ftp.mobilelegends.com,443
manage.mobilelegends.com,443
mysg-s6.mpl.mobilelegends.com,443
my-s8.mpl.mobilelegends.com,443
comics.mobilelegends.com,443
dev-esports-gm.mobilelegends.com,443
intestres.mobilelegends.com,443
cdn-oly.mobilelegends.com,443
sharepage.mobilelegends.com,443
www.activity.mobilelegends.com,443
creatorcamp.mobilelegends.com,443
m.mobilelegends.com,443
my-s9.mpl.mobilelegends.com,443
my-s7.mpl.mobilelegends.com,443
api.mobilelegends.com,443
m5.mobilelegends.com,443
dev-activity.mobilelegends.com,443
accountmtapi.mobilelegends.com,443
my-s11.mpl.mobilelegends.com,443
web.mobilelegends.com,443
m1.mobilelegends.com,443
mytel.mobilelegends.com,443
id.mpl.mobilelegends.com,443
event.mobilelegends.com,443
lore.mobilelegends.com,443
game.mobilelegends.com,443
img.mobilelegends.com,443
forum.mobilelegends.com,443
mpl.mobilelegends.com,443
cdn-my-s11.mpl.mobilelegends.com,443
host-223.mobilelegends.com,443
m4.mobilelegends.com,443
moontoon.mobilelegends.com,443
mtacc.mobilelegends.com,443
play.mobilelegends.com,443
mapi.mobilelegends.com,443
kh.mpl.mobilelegends.com,443
msc.mobilelegends.com,443
mobilelegends.com,443
mlbb_oauth2.mobilelegends.com,443
assistant.mobilelegends.com,443
static.mobilelegends.com,443
dev-lting.mobilelegends.com,443
moba.mobilelegends.com,443
my-s10.mpl.mobilelegends.com,80
mysg-s4.mpl.mobilelegends.com,80
cdn-my.mpl.mobilelegends.com,80
jp.mobilelegends.com,80
www.mobilelegends.com,80
mysg-s5.mpl.mobilelegends.com,80
sg-play.mobilelegends.com,80
www.worlds.mobilelegends.com,80
mysg.mpl.mobilelegends.com,80
mlapi.mobilelegends.com,80
share.mobilelegends.com,80
activity.mobilelegends.com,80
file.mobilelegends.com,80
cdn-my-s10.mpl.mobilelegends.com,80
worlds.mobilelegends.com,80
applink.mobilelegends.com,80
my.mpl.mobilelegends.com,80
www.sg.mpl.mobilelegends.com,80
dev-test-web.mobilelegends.com,80
accountmt.mobilelegends.com,80
img-cdn.mobilelegends.com,80
sg.mpl.mobilelegends.com,80
esports.mobilelegends.com,80
ftp.mobilelegends.com,80
manage.mobilelegends.com,80
mysg-s6.mpl.mobilelegends.com,80
my-s8.mpl.mobilelegends.com,80
comics.mobilelegends.com,80
dev-esports-gm.mobilelegends.com,80
intestres.mobilelegends.com,80
cdn-oly.mobilelegends.com,80
sharepage.mobilelegends.com,80
www.activity.mobilelegends.com,80
creatorcamp.mobilelegends.com,80
m.mobilelegends.com,80
my-s9.mpl.mobilelegends.com,80
my-s7.mpl.mobilelegends.com,80
api.mobilelegends.com,80
m5.mobilelegends.com,80
dev-activity.mobilelegends.com,80
accountmtapi.mobilelegends.com,80
my-s11.mpl.mobilelegends.com,80
web.mobilelegends.com,80
m1.mobilelegends.com,80
mytel.mobilelegends.com,80
id.mpl.mobilelegends.com,80
event.mobilelegends.com,80
lore.mobilelegends.com,80
game.mobilelegends.com,80
img.mobilelegends.com,80
forum.mobilelegends.com,80
mpl.mobilelegends.com,80
cdn-my-s11.mpl.mobilelegends.com,80
host-223.mobilelegends.com,80
m4.mobilelegends.com,80
moontoon.mobilelegends.com,80
mtacc.mobilelegends.com,80
play.mobilelegends.com,80
mapi.mobilelegends.com,80
kh.mpl.mobilelegends.com,80
msc.mobilelegends.com,80
mobilelegends.com,80
mlbb_oauth2.mobilelegends.com,80
assistant.mobilelegends.com,80
static.mobilelegends.com,80
dev-lting.mobilelegends.com,80
moba.mobilelegends.com,80
